MSOA,White%,Mixed%,Asian%,Black%,Other%
E02002503,0.918,0.0243,0.0411,0.0092,0.0074
E02002504,0.7914,0.0252,0.155,0.0063,0.0221
E02002505,0.9683,0.0187,0.005,0.0077,0.0003
E02002506,0.9145,0.0174,0.0492,0.0111,0.0078
E02002507,0.9071,0.0076,0.0757,0.0061,0.0035
E02002508,0.8849,0.0089,0.0981,0.0016,0.0065
E02002509,0.9314,0.0152,0.0374,0.0116,0.0043
E02002510,0.959,0.0093,0.0254,0.0011,0.0053
E02002512,0.9589,0.0058,0.0303,0.0017,0.0032
E02002513,0.98,0.0096,0.0046,0.0045,0.0012
E02002514,0.9749,0.0114,0.0083,0.0037,0.0018
E02006811,0.9471,0.011,0.0325,0.0044,0.005
E02005702,0.9875,0.006,0.005,0.0006,0.0009
E02005703,0.9849,0.0043,0.0092,0.0007,0.0009
E02005704,0.9937,0.0027,0.0023,0.0006,0.0006
E02005705,0.9927,0.0024,0.004,0.0004,0.0005
E02005706,0.9811,0.0058,0.0107,0.0011,0.0012
E02005707,0.9883,0.0048,0.0045,0.0022,0.0003
E02005708,0.9936,0.0032,0.002,0.0003,0.001
E02005709,0.9824,0.0073,0.0083,0.0009,0.0012
E02005710,0.9791,0.0065,0.0135,0.0002,0.0006
E02005711,0.9868,0.0052,0.0067,0.0007,0.0006
E02005712,0.9795,0.0033,0.0164,0.0003,0.0006
E02005713,0.9942,0.0022,0.003,0.0001,0.0004
E02005714,0.9862,0.005,0.0058,0.0017,0.0013
E02005715,0.9855,0.0072,0.006,0.0009,0.0003
E02005716,0.9879,0.0076,0.0041,0.0002,0.0001
E02005717,0.9904,0.0051,0.0035,0.0008,0.0003
E02005718,0.9915,0.0038,0.0039,0.0002,0.0006
E02005719,0.9899,0.0046,0.0047,0.0005,0.0003
E02005720,0.9719,0.0091,0.0106,0.0076,0.0008
E02005721,0.9842,0.0058,0.0064,0.0031,0.0006
E02005722,0.9896,0.0049,0.0044,0.0001,0.001
E02005723,0.982,0.0064,0.0076,0.0033,0.0006
E02005724,0.9813,0.0041,0.0104,0.001,0.0033
